CON_ID,CEOworld_Healthcare_Index,GDP,Vaccine_Policy
138,,1299.0,Healthcare Priority
139,,2393.0,Age-Based Priority
139,,2393.0,Mandatory
139,,2393.0,Healthcare Priority
140,,1125.0,Voluntary
140,,1125.0,Age-Based Priority
140,,1125.0,Recommended
141,62.2,1316250.0,Healthcare Priority
141,62.2,1316250.0,Recommended
142,,39986.0,Mandatory
142,,39986.0,Recommended
143,52.1,112108.0,Recommended
143,52.1,112108.0,Age-Based Priority
143,52.1,112108.0,Voluntary
144,,2249.0,Recommended
144,,2249.0,Age-Based Priority
144,,2249.0,Mandatory
145,,9302.0,Voluntary
145,,9302.0,Mandatory
146,,606225.0,Healthcare Priority
146,,606225.0,Recommended
147,58.2,167730.0,Recommended
148,66.2,85738.0,Age-Based Priority
148,66.2,85738.0,Voluntary
149,,13912.0,Recommended
149,,13912.0,Age-Based Priority
150,64.0,443643.0,Recommended
151,82.9,1936617.0,Mandatory
151,82.9,1936617.0,Voluntary
152,,6033.0,Voluntary
152,,6033.0,Age-Based Priority
153,77.2,2041830.0,Recommended
153,77.2,2041830.0,Healthcare Priority
154,70.7,98964.0,Voluntary
154,70.7,98964.0,Recommended
154,70.7,98964.0,Mandatory
155,,39474.0,Mandatory
156,,4870.0,Recommended
156,,4870.0,Healthcare Priority
157,68.3,711503.0,Healthcare Priority
158,71.2,1074588.0,Age-Based Priority
158,71.2,1074588.0,Healthcare Priority
159,35.4,,Recommended
160,87.1,971448.0,Mandatory
160,87.1,971448.0,Recommended
161,,18941.0,Age-Based Priority
162,,95349.0,Mandatory
163,77.5,561509.0,Healthcare Priority
163,77.5,561509.0,Mandatory
163,77.5,561509.0,Recommended
164,,2208.0,Recommended
164,,2208.0,Mandatory
165,,12176.0,Mandatory
166,53.6,26758.0,Age-Based Priority
166,53.6,26758.0,Healthcare Priority
167,56.6,60434.0,Healthcare Priority
168,71.3,1576110.0,Age-Based Priority
169,67.0,31821293.0,Healthcare Priority
169,67.0,31821293.0,Recommended
170,,72456.0,Age-Based Priority
170,,72456.0,Healthcare Priority
170,,72456.0,Recommended
171,55.8,224259.0,Mandatory
171,55.8,224259.0,Recommended
171,55.8,224259.0,Voluntary
172,70.8,601163.0,Voluntary
173,72.7,4225639.0,Voluntary
173,72.7,4225639.0,Age-Based Priority
174,68.5,90640.0,Age-Based Priority
174,68.5,90640.0,Mandatory
174,68.5,90640.0,Healthcare Priority
175,,159199.0,Age-Based Priority
175,,159199.0,Voluntary
176,39.9,79916.0,Voluntary
177,62.2,511059.0,Healthcare Priority
177,62.2,511059.0,Age-Based Priority
178,,13711.0,Voluntary
179,,,Age-Based Priority
179,,,Mandatory
179,,,Recommended
180,,17240.0,Mandatory
181,,33945.0,Recommended
181,,33945.0,Voluntary
182,,55434.0,Voluntary
182,,55434.0,Age-Based Priority
182,,55434.0,Healthcare Priority
