CON_ID,REPORT_DATE,Confirmed,Deaths,Recovered
47,4/1/2026,15516,373,11428
48,4/3/2026,13761,613,12605
48,3/28/2026,13761,613,12605
49,3/23/2026,5059,58,4977
49,4/2/2026,5059,58,4977
49,3/27/2026,5059,58,4977
49,3/26/2026,5059,58,4977
50,3/29/2026,18,0,18
50,3/25/2026,18,0,18
51,3/22/2026,64156,1083,30204
51,3/25/2026,64156,1083,30204
51,4/4/2026,64156,1083,30204
51,3/27/2026,64156,1083,30204
52,4/4/2026,81161,5532,34896
53,4/2/2026,92482,4652,34838
53,3/28/2026,92482,4652,34838
53,3/25/2026,92482,4652,34838
54,3/23/2026,15035,408,7778
54,3/24/2026,15035,408,7778
54,3/29/2026,15035,408,7778
54,3/27/2026,15035,408,7778
55,3/27/2026,3071,51,842
56,4/4/2026,265,0,191
56,3/24/2026,265,0,191
57,3/25/2026,2034,69,1923
57,3/24/2026,2034,69,1923
57,3/31/2026,2034,69,1923
58,4/1/2026,2316,34,1025
58,3/31/2026,2316,34,1025
59,3/27/2026,14547,228,6386
59,3/30/2026,14547,228,6386
59,4/3/2026,14547,228,6386
59,3/25/2026,14547,228,6386
60,3/27/2026,27,0,18
60,3/25/2026,27,0,18
60,4/4/2026,27,0,18
61,4/1/2026,7398,329,6920
61,4/3/2026,7398,329,6920
61,3/28/2026,7398,329,6920
62,3/24/2026,220352,30212,81212
62,4/4/2026,220352,30212,81212
62,3/30/2026,220352,30212,81212
62,3/29/2026,220352,30212,81212
63,3/31/2026,7189,49,4682
64,3/28/2026,326,8,66
64,3/23/2026,326,8,66
64,4/2/2026,326,8,66
64,3/29/2026,326,8,66
65,3/29/2026,1137,16,922
65,3/27/2026,1137,16,922
65,3/26/2026,1137,16,922
66,3/27/2026,207112,9125,190314
67,3/23/2026,33624,168,29801
67,3/24/2026,33624,168,29801
67,3/31/2026,33624,168,29801
67,4/2/2026,33624,168,29801
68,3/30/2026,4227,202,1374
69,3/24/2026,14,0,13
69,3/23/2026,14,0,13
69,3/27/2026,14,0,13
69,3/31/2026,14,0,13
70,3/23/2026,23,0,23
70,3/26/2026,23,0,23
71,3/23/2026,45309,1761,32455
72,3/25/2026,7055,45,6257
73,3/25/2026,1954,26,803
74,3/27/2026,389,20,181
74,4/4/2026,389,20,181
74,3/28/2026,389,20,181
75,3/26/2026,7340,158,4365
75,3/31/2026,7340,158,4365
75,3/27/2026,7340,158,4365
76,3/31/2026,12,0,12
76,3/29/2026,12,0,12
76,4/3/2026,12,0,12
77,3/27/2026,39741,1166,5039
78,3/31/2026,4448,596,3329
79,4/2/2026,1854,10,1823
79,3/23/2026,1854,10,1823
79,3/22/2026,1854,10,1823
80,4/4/2026,1480073,33408,951166
80,3/23/2026,1480073,33408,951166
80,3/28/2026,1480073,33408,951166
80,3/22/2026,1480073,33408,951166
81,3/24/2026,100303,4838,58173
82,3/22/2026,293606,15912,255144
82,4/1/2026,293606,15912,255144
82,4/2/2026,293606,15912,255144
82,4/4/2026,293606,15912,255144
83,3/31/2026,112585,4458,77144
83,4/2/2026,112585,4458,77144
83,4/1/2026,112585,4458,77144
83,3/30/2026,112585,4458,77144
84,3/23/2026,25892,1764,23364
84,4/2/2026,25892,1764,23364
84,4/3/2026,25892,1764,23364
85,4/2/2026,63985,474,27133
86,3/23/2026,246286,35112,198593
86,4/4/2026,246286,35112,198593
86,3/28/2026,246286,35112,198593
86,4/1/2026,246286,35112,198593
87,4/1/2026,853,10,714
87,3/25/2026,853,10,714
88,4/1/2026,31142,998,21970
88,3/27/2026,31142,998,21970
89,3/28/2026,1176,11,1041
89,4/3/2026,1176,11,1041
89,4/4/2026,1176,11,1041
89,3/30/2026,1176,11,1041
90,3/23/2026,84648,585,54404
91,3/30/2026,17975,285,7833
92,4/2/2026,7413,185,4027
93,3/25/2026,64379,438,55057
94,3/24/2026,33296,1301,21205
94,4/2/2026,33296,1301,21205
94,3/28/2026,33296,1301,21205
94,3/30/2026,33296,1301,21205
95,4/2/2026,20,0,19
95,3/28/2026,20,0,19
95,3/23/2026,20,0,19
96,3/29/2026,1219,31,1045
97,4/3/2026,3882,51,1709
97,3/22/2026,3882,51,1709
98,3/25/2026,505,12,128
99,3/29/2026,1167,72,646
100,3/28/2026,2827,64,577
100,3/31/2026,2827,64,577
100,3/27/2026,2827,64,577
101,3/26/2026,86,1,81
101,4/3/2026,86,1,81
101,3/25/2026,86,1,81
101,3/22/2026,86,1,81
102,3/29/2026,2019,80,1620
102,3/31/2026,2019,80,1620
102,3/27/2026,2019,80,1620
102,3/30/2026,2019,80,1620
103,3/22/2026,6321,112,4825
104,4/3/2026,9690,91,6260
104,3/25/2026,9690,91,6260
104,3/31/2026,9690,91,6260
105,4/3/2026,3664,99,1645
105,4/1/2026,3664,99,1645
105,3/30/2026,3664,99,1645
106,3/27/2026,8904,124,8601
106,3/25/2026,8904,124,8601
107,4/3/2026,3369,15,2547
107,3/30/2026,3369,15,2547
108,3/22/2026,2513,124,1913
109,4/3/2026,701,9,665
109,3/31/2026,701,9,665
110,3/24/2026,6208,156,4653
110,3/23/2026,6208,156,4653
110,3/28/2026,6208,156,4653
111,3/24/2026,344,10,332
111,4/4/2026,344,10,332
111,3/28/2026,344,10,332
111,3/30/2026,344,10,332
112,3/25/2026,395489,44022,303810
112,3/31/2026,395489,44022,303810
112,4/4/2026,395489,44022,303810
112,3/22/2026,395489,44022,303810
113,4/3/2026,23154,748,16154
114,4/2/2026,116,4,104
114,3/24/2026,116,4,104
114,3/30/2026,116,4,104
114,3/29/2026,116,4,104
115,3/28/2026,289,0,222
115,4/3/2026,289,0,222
115,3/27/2026,289,0,222
115,3/29/2026,289,0,222
116,3/23/2026,2893,45,809
116,3/31/2026,2893,45,809
116,3/25/2026,2893,45,809
116,3/27/2026,2893,45,809
117,3/31/2026,20887,316,16553
117,3/29/2026,20887,316,16553
117,3/28/2026,20887,316,16553
117,3/27/2026,20887,316,16553
118,4/4/2026,1701,11,0
118,4/1/2026,1701,11,0
118,3/23/2026,1701,11,0
119,3/31/2026,1843,8,101
119,3/27/2026,1843,8,101
119,3/23/2026,1843,8,101
119,3/29/2026,1843,8,101
120,4/3/2026,1132,69,1027
120,3/22/2026,1132,69,1027
120,3/27/2026,1132,69,1027
120,3/24/2026,1132,69,1027
121,3/30/2026,41180,860,18203
121,3/27/2026,41180,860,18203
122,3/29/2026,10213,466,5564
122,3/27/2026,10213,466,5564
122,4/3/2026,10213,466,5564
122,3/31/2026,10213,466,5564
123,4/4/2026,9132,255,8752
123,3/22/2026,9132,255,8752
123,4/3/2026,9132,255,8752
124,3/22/2026,77058,393,57028
124,4/2/2026,77058,393,57028
124,3/23/2026,77058,393,57028
124,4/1/2026,77058,393,57028
125,3/31/2026,61442,1322,35086
126,4/2/2026,62,0,11
127,3/24/2026,4548,43,2905
127,3/22/2026,4548,43,2905
128,4/3/2026,389717,18418,272547
128,3/29/2026,389717,18418,272547
128,3/27/2026,389717,18418,272547
128,3/30/2026,389717,18418,272547
129,3/24/2026,82040,1945,26446
129,4/1/2026,82040,1945,26446
129,3/25/2026,82040,1945,26446
129,3/22/2026,82040,1945,26446
130,4/3/2026,43402,1676,32856
130,3/31/2026,43402,1676,32856
131,3/24/2026,50299,1719,35375
131,3/30/2026,50299,1719,35375
132,4/4/2026,109597,165,106328
132,3/30/2026,109597,165,106328
132,3/25/2026,109597,165,106328
133,3/28/2026,45902,2206,25794
134,4/1/2026,816680,13334,602249
134,3/24/2026,816680,13334,602249
134,3/26/2026,816680,13334,602249
135,3/24/2026,1879,5,975
135,4/3/2026,1879,5,975
135,3/30/2026,1879,5,975
136,3/29/2026,17,0,15
136,4/1/2026,17,0,15
136,3/26/2026,17,0,15
137,3/27/2026,24,0,22
138,3/22/2026,52,0,39
139,4/1/2026,699,42,657
139,3/28/2026,699,42,657
139,3/27/2026,699,42,657
140,3/23/2026,865,14,734
140,3/29/2026,865,14,734
140,4/2/2026,865,14,734
141,3/24/2026,268934,2760,222936
141,3/29/2026,268934,2760,222936
141,3/23/2026,268934,2760,222936
142,3/29/2026,9764,194,6477
142,4/1/2026,9764,194,6477
143,4/4/2026,24141,543,0
143,4/2/2026,24141,543,0
143,3/24/2026,24141,543,0
143,3/26/2026,24141,543,0
144,4/4/2026,114,0,39
144,3/30/2026,114,0,39
144,3/27/2026,114,0,39
145,3/31/2026,1783,66,1317
145,3/23/2026,1783,66,1317
146,3/25/2026,50838,27,45692
146,3/27/2026,50838,27,45692
146,3/26/2026,50838,27,45692
147,3/24/2026,2181,28,1616
147,3/26/2026,2181,28,1616
148,3/22/2026,2087,116,1733
148,4/1/2026,2087,116,1733
149,3/28/2026,3196,93,1543
149,4/4/2026,3196,93,1543
149,3/31/2026,3196,93,1543
150,4/4/2026,452529,7067,274925
151,3/23/2026,14203,300,13007
151,3/31/2026,14203,300,13007
151,4/4/2026,14203,300,13007
152,3/25/2026,2305,46,1175
152,3/28/2026,2305,46,1175
153,3/27/2026,272421,28432,150376
153,3/31/2026,272421,28432,150376
153,3/22/2026,272421,28432,150376
154,3/23/2026,2805,11,2121
154,4/3/2026,2805,11,2121
154,4/1/2026,2805,11,2121
155,3/28/2026,11424,720,5939
156,4/2/2026,1483,24,925
156,3/28/2026,1483,24,925
156,3/31/2026,1483,24,925
157,3/26/2026,79395,5700,0
158,3/23/2026,34477,1978,30900
158,3/22/2026,34477,1978,30900
159,3/22/2026,674,40,0
159,4/3/2026,674,40,0
160,3/24/2026,462,7,440
160,3/29/2026,462,7,440
160,3/28/2026,462,7,440
161,4/4/2026,7235,60,6028
162,3/26/2026,509,21,183
163,3/29/2026,3297,58,3111
163,3/24/2026,3297,58,3111
163,3/22/2026,3297,58,3111
164,4/2/2026,24,0,0
164,3/22/2026,24,0,0
165,3/28/2026,874,18,607
165,3/31/2026,874,18,607
166,3/30/2026,148,8,128
166,4/4/2026,148,8,128
167,3/28/2026,1455,50,1157
168,4/2/2026,227019,5630,210469
169,3/27/2026,4290259,148011,1325804
169,3/26/2026,4290259,148011,1325804
169,3/28/2026,4290259,148011,1325804
170,3/26/2026,1128,2,986
170,3/24/2026,1128,2,986
170,3/27/2026,1128,2,986
170,3/30/2026,1128,2,986
171,3/28/2026,67096,1636,37202
171,3/22/2026,67096,1636,37202
171,3/24/2026,67096,1636,37202
171,3/23/2026,67096,1636,37202
172,4/2/2026,59177,345,52510
173,3/24/2026,301708,45844,1437
173,3/23/2026,301708,45844,1437
173,3/31/2026,301708,45844,1437
174,3/25/2026,1202,35,951
174,4/2/2026,1202,35,951
174,3/22/2026,1202,35,951
174,4/3/2026,1202,35,951
175,3/29/2026,21209,121,11674
175,3/27/2026,21209,121,11674
176,3/25/2026,15988,146,9959
177,3/25/2026,431,0,365
177,3/29/2026,431,0,365
178,3/25/2026,10621,78,3752
179,4/1/2026,10,1,8
179,4/3/2026,10,1,8
179,3/28/2026,10,1,8
179,3/29/2026,10,1,8
180,3/31/2026,1691,483,833
181,3/29/2026,4552,140,2815
181,3/31/2026,4552,140,2815
181,3/25/2026,4552,140,2815
181,3/22/2026,4552,140,2815
182,4/1/2026,2704,36,542
182,3/30/2026,2704,36,542
182,3/27/2026,2704,36,542
182,3/26/2026,2704,36,542
