Country,Confirmed,Deaths,Recovered,Active,REPORT_DATE,NEW_CONFIRM,NEW_DEATH,NEW_RECOV,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,WEEKLY_INC,1 week % increase,WEEK_START,WHO_Region,Population,ISO_CODE,GDP,CEOworld_Healthcare_Index,Vaccine_Policy,VAC_NAME,DOSE_AMOUNT,VAC_START_DAY,USAGE_PERC
Argentina,167416,3059,72575,91782,4/1/2026,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,3/29/2026,Americas,46003734,ARG,667922,67.8,Healthcare Priority,Pfizer,2,2/10/2022,78
Argentina,167416,3059,72575,91782,3/30/2026,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,3/29/2026,Americas,46003734,ARG,667922,67.8,Recommended,Sinovac,2,6/1/2021,13
Argentina,167416,3059,72575,91782,3/29/2026,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,3/29/2026,Americas,46003734,ARG,667922,67.8,Age-Based Priority,AstraZeneca,2,1/30/2022,26
Armenia,37390,711,26665,10014,3/25/2026,73,6,187,1.9,71.32,2.67,34981,2409,6.89,3/29/2026,Europe,2930915,ARM,29082,59.5,Age-Based Priority,Johnson&Johnson,1,8/8/2022,91
Armenia,37390,711,26665,10014,3/24/2026,73,6,187,1.9,71.32,2.67,34981,2409,6.89,3/29/2026,Europe,2930915,ARM,29082,59.5,Voluntary,Sinovac,2,9/27/2021,81
Australia,15303,167,9311,5825,3/22/2026,368,6,137,1.09,60.84,1.79,12428,2875,23.13,3/29/2026,Western Pacific,27227096,AUS,1948227,72,Voluntary,Pfizer,2,1/25/2021,78
Australia,15303,167,9311,5825,3/28/2026,368,6,137,1.09,60.84,1.79,12428,2875,23.13,3/29/2026,Western Pacific,27227096,AUS,1948227,72,Voluntary,Moderna,2,4/22/2022,85
Australia,15303,167,9311,5825,4/1/2026,368,6,137,1.09,60.84,1.79,12428,2875,23.13,3/29/2026,Western Pacific,27227096,AUS,1948227,72,Age-Based Priority,Sinovac,2,1/30/2021,86
Austria,20558,713,18246,1599,4/3/2026,86,1,37,3.47,88.75,3.91,19743,815,4.13,3/29/2026,Europe,9107266,AUT,604198,78.9,Voluntary,AstraZeneca,2,12/31/2022,94
Azerbaijan,30446,423,23242,6781,3/27/2026,396,6,558,1.39,76.34,1.82,27890,2556,9.16,3/29/2026,Europe,10454855,AZE,80024,49,Voluntary,Moderna,2,4/17/2021,57
Azerbaijan,30446,423,23242,6781,3/26/2026,396,6,558,1.39,76.34,1.82,27890,2556,9.16,3/29/2026,Europe,10454855,AZE,80024,49,Recommended,AstraZeneca,2,9/12/2021,86
Bahamas,382,11,91,280,3/24/2026,40,0,0,2.88,23.82,12.09,174,208,119.54,3/29/2026,Americas,404628,BHS,16841,,Age-Based Priority,Johnson&Johnson,1,9/18/2022,95
Bahamas,382,11,91,280,3/23/2026,40,0,0,2.88,23.82,12.09,174,208,119.54,3/29/2026,Americas,404628,BHS,16841,,Recommended,AstraZeneca,2,8/31/2021,90
Bahamas,382,11,91,280,4/4/2026,40,0,0,2.88,23.82,12.09,174,208,119.54,3/29/2026,Americas,404628,BHS,16841,,Mandatory,Sinovac,2,7/19/2022,43
Bahrain,39482,141,36110,3231,3/24/2026,351,1,421,0.36,91.46,0.39,36936,2546,6.89,3/29/2026,Eastern Mediterranean,1675572,BHR,49194,,Age-Based Priority,AstraZeneca,2,3/22/2022,23
Bahrain,39482,141,36110,3231,4/1/2026,351,1,421,0.36,91.46,0.39,36936,2546,6.89,3/29/2026,Eastern Mediterranean,1675572,BHR,49194,,Age-Based Priority,Pfizer,2,2/18/2021,17
Bahrain,39482,141,36110,3231,4/2/2026,351,1,421,0.36,91.46,0.39,36936,2546,6.89,3/29/2026,Eastern Mediterranean,1675572,BHR,49194,,Age-Based Priority,Sinovac,2,5/18/2022,68
Bahrain,39482,141,36110,3231,4/3/2026,351,1,421,0.36,91.46,0.39,36936,2546,6.89,3/29/2026,Eastern Mediterranean,1675572,BHR,49194,,Healthcare Priority,Johnson&Johnson,1,5/30/2022,77
Bangladesh,226225,2965,125683,97577,4/2/2026,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,3/29/2026,South-East Asia,177818044,BGD,519288,42,Mandatory,AstraZeneca,2,7/26/2022,74
Bangladesh,226225,2965,125683,97577,3/25/2026,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,3/29/2026,South-East Asia,177818044,BGD,519288,42,Healthcare Priority,Sinovac,2,6/20/2021,60
Bangladesh,226225,2965,125683,97577,3/26/2026,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,3/29/2026,South-East Asia,177818044,BGD,519288,42,Mandatory,Johnson&Johnson,1,1/1/2021,43
Bangladesh,226225,2965,125683,97577,4/1/2026,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,3/29/2026,South-East Asia,177818044,BGD,519288,42,Age-Based Priority,Pfizer,2,6/26/2022,47
Barbados,110,7,94,9,3/31/2026,0,0,0,6.36,85.45,7.45,106,4,3.77,3/29/2026,Americas,282724,BRB,7944,,Mandatory,Sinovac,2,6/21/2022,39
Barbados,110,7,94,9,3/27/2026,0,0,0,6.36,85.45,7.45,106,4,3.77,3/29/2026,Americas,282724,BRB,7944,,Healthcare Priority,Johnson&Johnson,1,6/23/2021,74
Barbados,110,7,94,9,3/26/2026,0,0,0,6.36,85.45,7.45,106,4,3.77,3/29/2026,Americas,282724,BRB,7944,,Recommended,AstraZeneca,2,5/7/2021,93
Belarus,67251,538,60492,6221,3/30/2026,119,4,67,0.8,89.95,0.89,66213,1038,1.57,3/29/2026,Europe,8937018,BLR,90556,49.6,Healthcare Priority,Sinovac,2,5/13/2021,80
Belgium,66428,9822,17452,39154,3/28/2026,402,1,14,14.79,26.27,56.28,64094,2334,3.64,3/29/2026,Europe,11774642,BEL,761174,76.4,Voluntary,Pfizer,2,7/6/2022,47
Belgium,66428,9822,17452,39154,3/30/2026,402,1,14,14.79,26.27,56.28,64094,2334,3.64,3/29/2026,Europe,11774642,BEL,761174,76.4,Mandatory,Sinovac,2,4/18/2022,10
Belgium,66428,9822,17452,39154,3/31/2026,402,1,14,14.79,26.27,56.28,64094,2334,3.64,3/29/2026,Europe,11774642,BEL,761174,76.4,Voluntary,Moderna,2,4/14/2021,57
Belgium,66428,9822,17452,39154,3/25/2026,402,1,14,14.79,26.27,56.28,64094,2334,3.64,3/29/2026,Europe,11774642,BEL,761174,76.4,Age-Based Priority,Johnson&Johnson,1,12/28/2020,34
Belize,48,2,26,20,3/23/2026,0,0,0,4.17,54.17,7.69,40,8,20,3/29/2026,Americas,428644,BLZ,3442,,Recommended,Sinovac,2,12/6/2021,66
Belize,48,2,26,20,4/2/2026,0,0,0,4.17,54.17,7.69,40,8,20,3/29/2026,Americas,428644,BLZ,3442,,Mandatory,Johnson&Johnson,1,2/23/2021,30
Belize,48,2,26,20,3/24/2026,0,0,0,4.17,54.17,7.69,40,8,20,3/29/2026,Americas,428644,BLZ,3442,,Healthcare Priority,AstraZeneca,2,11/4/2022,84
Belize,48,2,26,20,3/27/2026,0,0,0,4.17,54.17,7.69,40,8,20,3/29/2026,Americas,428644,BLZ,3442,,Mandatory,Pfizer,2,5/23/2022,55
Benin,1770,35,1036,699,3/30/2026,0,0,0,1.98,58.53,3.38,1602,168,10.49,3/29/2026,Africa,15170419,BEN,27453,,Age-Based Priority,AstraZeneca,2,2/26/2022,15
Benin,1770,35,1036,699,3/26/2026,0,0,0,1.98,58.53,3.38,1602,168,10.49,3/29/2026,Africa,15170419,BEN,27453,,Recommended,Moderna,2,7/4/2021,86
Benin,1770,35,1036,699,3/31/2026,0,0,0,1.98,58.53,3.38,1602,168,10.49,3/29/2026,Africa,15170419,BEN,27453,,Age-Based Priority,Sinovac,2,1/2/2022,53
Bhutan,99,0,86,13,4/2/2026,4,0,1,0,86.87,0,90,9,10,3/29/2026,South-East Asia,802214,BTN,3771,,Age-Based Priority,Moderna,2,4/25/2021,35
Bhutan,99,0,86,13,4/1/2026,4,0,1,0,86.87,0,90,9,10,3/29/2026,South-East Asia,802214,BTN,3771,,Recommended,AstraZeneca,2,4/10/2022,82
Bhutan,99,0,86,13,3/28/2026,4,0,1,0,86.87,0,90,9,10,3/29/2026,South-East Asia,802214,BTN,3771,,Mandatory,Sinovac,2,5/28/2022,37
Bhutan,99,0,86,13,3/31/2026,4,0,1,0,86.87,0,90,9,10,3/29/2026,South-East Asia,802214,BTN,3771,,Mandatory,Johnson&Johnson,1,6/1/2021,14
Bolivia,71181,2647,21478,47056,4/1/2026,1752,64,309,3.72,30.17,12.32,60991,10190,16.71,3/29/2026,Americas,12749291,BOL,57086,,Recommended,Moderna,2,6/25/2022,10
Bolivia,71181,2647,21478,47056,3/30/2026,1752,64,309,3.72,30.17,12.32,60991,10190,16.71,3/29/2026,Americas,12749291,BOL,57086,,Recommended,Johnson&Johnson,1,9/25/2022,64
Bosnia and Herzegovina,10498,294,4930,5274,3/31/2026,731,14,375,2.8,46.96,5.96,8479,2019,23.81,3/29/2026,Europe,3114242,BIH,36239,54.6,Healthcare Priority,AstraZeneca,2,11/20/2022,13
Bosnia and Herzegovina,10498,294,4930,5274,3/27/2026,731,14,375,2.8,46.96,5.96,8479,2019,23.81,3/29/2026,Europe,3114242,BIH,36239,54.6,Healthcare Priority,Johnson&Johnson,1,12/1/2021,77
Botswana,739,2,63,674,3/26/2026,53,1,11,0.27,8.53,3.17,522,217,41.57,3/29/2026,Africa,2603388,BWA,20708,,Age-Based Priority,AstraZeneca,2,8/20/2022,50
Botswana,739,2,63,674,3/25/2026,53,1,11,0.27,8.53,3.17,522,217,41.57,3/29/2026,Africa,2603388,BWA,20708,,Voluntary,Johnson&Johnson,1,12/1/2020,63
Botswana,739,2,63,674,4/2/2026,53,1,11,0.27,8.53,3.17,522,217,41.57,3/29/2026,Africa,2603388,BWA,20708,,Mandatory,Moderna,2,1/17/2022,31
Brazil,2442375,87618,1846641,508116,3/31/2026,23284,614,33728,3.59,75.61,4.74,2118646,323729,15.28,3/29/2026,Americas,213562666,BRA,2292690,59.3,Voluntary,Moderna,2,6/5/2021,44
Brazil,2442375,87618,1846641,508116,4/4/2026,23284,614,33728,3.59,75.61,4.74,2118646,323729,15.28,3/29/2026,Americas,213562666,BRA,2292690,59.3,Voluntary,Pfizer,2,5/3/2021,90
Brunei,141,3,138,0,3/31/2026,0,0,0,2.13,97.87,2.17,141,0,0,3/29/2026,Western Pacific,469775,BRN,16457,,Healthcare Priority,Johnson&Johnson,1,7/5/2022,17
Brunei,141,3,138,0,3/22/2026,0,0,0,2.13,97.87,2.17,141,0,0,3/29/2026,Western Pacific,469775,BRN,16457,,Age-Based Priority,Moderna,2,3/17/2022,45
Brunei,141,3,138,0,3/26/2026,0,0,0,2.13,97.87,2.17,141,0,0,3/29/2026,Western Pacific,469775,BRN,16457,,Voluntary,Pfizer,2,6/15/2021,26
Brunei,141,3,138,0,4/1/2026,0,0,0,2.13,97.87,2.17,141,0,0,3/29/2026,Western Pacific,469775,BRN,16457,,Age-Based Priority,Sinovac,2,11/23/2022,28
Bulgaria,10621,347,5585,4689,3/29/2026,194,7,230,3.27,52.58,6.21,8929,1692,18.95,3/29/2026,Europe,6667659,BGR,142203,58.3,Mandatory,Johnson&Johnson,1,11/22/2022,90
Bulgaria,10621,347,5585,4689,3/23/2026,194,7,230,3.27,52.58,6.21,8929,1692,18.95,3/29/2026,Europe,6667659,BGR,142203,58.3,Age-Based Priority,Moderna,2,11/13/2022,91
Bulgaria,10621,347,5585,4689,3/28/2026,194,7,230,3.27,52.58,6.21,8929,1692,18.95,3/29/2026,Europe,6667659,BGR,142203,58.3,Voluntary,Sinovac,2,11/1/2022,48
Burkina Faso,1100,53,926,121,3/23/2026,14,0,6,4.82,84.18,5.72,1065,35,3.29,3/29/2026,Africa,24601700,BFA,30705,,Recommended,Johnson&Johnson,1,12/27/2020,70
Burma,350,6,292,52,3/30/2026,0,0,2,1.71,83.43,2.05,341,9,2.64,3/29/2026,South-East Asia,55184819,MMR,65171,,Recommended,Pfizer,2,7/26/2021,19
Burundi,378,1,301,76,3/22/2026,17,0,22,0.26,79.63,0.33,322,56,17.39,3/29/2026,Africa,14729157,BDI,9212,,Healthcare Priority,Moderna,2,9/22/2022,74
Burundi,378,1,301,76,4/1/2026,17,0,22,0.26,79.63,0.33,322,56,17.39,3/29/2026,Africa,14729157,BDI,9212,,Age-Based Priority,Pfizer,2,9/19/2021,26
Burundi,378,1,301,76,4/3/2026,17,0,22,0.26,79.63,0.33,322,56,17.39,3/29/2026,Africa,14729157,BDI,9212,,Healthcare Priority,Johnson&Johnson,1,9/26/2022,62
Cabo Verde,2328,22,1550,756,4/3/2026,21,0,103,0.95,66.58,1.42,2071,257,12.41,3/29/2026,Africa,529630,CPV,51506,,Mandatory,AstraZeneca,2,5/26/2022,75
Cambodia,226,0,147,79,3/30/2026,1,0,4,0,65.04,0,171,55,32.16,3/29/2026,Western Pacific,18051219,KHM,67517,51.6,Age-Based Priority,Moderna,2,9/14/2021,93
Cameroon,17110,391,14539,2180,4/2/2026,402,6,0,2.29,84.97,2.69,16157,953,5.9,3/29/2026,Africa,30640817,CMR,2420837,,Voluntary,Johnson&Johnson,1,10/12/2021,11
Cameroon,17110,391,14539,2180,3/29/2026,402,6,0,2.29,84.97,2.69,16157,953,5.9,3/29/2026,Africa,30640817,CMR,2420837,,Age-Based Priority,AstraZeneca,2,12/17/2021,55
Cameroon,17110,391,14539,2180,3/22/2026,402,6,0,2.29,84.97,2.69,16157,953,5.9,3/29/2026,Africa,30640817,CMR,2420837,,Mandatory,Moderna,2,7/4/2021,35
Canada,116458,8944,0,107514,3/22/2026,682,11,0,7.68,0,inf,112925,3533,3.13,3/29/2026,Americas,40467728,CAN,3138,68.6,Voluntary,Moderna,2,1/27/2021,54
Canada,116458,8944,0,107514,3/23/2026,682,11,0,7.68,0,inf,112925,3533,3.13,3/29/2026,Americas,40467728,CAN,3138,68.6,Age-Based Priority,Johnson&Johnson,1,8/31/2021,74
Canada,116458,8944,0,107514,3/30/2026,682,11,0,7.68,0,inf,112925,3533,3.13,3/29/2026,Americas,40467728,CAN,3138,68.6,Healthcare Priority,Sinovac,2,11/28/2021,70
Canada,116458,8944,0,107514,4/1/2026,682,11,0,7.68,0,inf,112925,3533,3.13,3/29/2026,Americas,40467728,CAN,3138,68.6,Age-Based Priority,Pfizer,2,8/14/2022,14
Central African Republic,4599,59,1546,2994,3/29/2026,0,0,0,1.28,33.62,3.82,4548,51,1.12,3/29/2026,Africa,5698984,CAF,3708,,Mandatory,Moderna,2,11/4/2021,90
Central African Republic,4599,59,1546,2994,4/3/2026,0,0,0,1.28,33.62,3.82,4548,51,1.12,3/29/2026,Africa,5698984,CAF,3708,,Recommended,Pfizer,2,10/20/2021,93
Chad,922,75,810,37,3/22/2026,7,0,0,8.13,87.85,9.26,889,33,3.71,3/29/2026,Africa,21560380,TCD,23556,,Healthcare Priority,Sinovac,2,11/10/2022,35
Chad,922,75,810,37,3/26/2026,7,0,0,8.13,87.85,9.26,889,33,3.71,3/29/2026,Africa,21560380,TCD,23556,,Voluntary,Johnson&Johnson,1,1/14/2021,89
Chile,347923,9187,319954,18782,3/25/2026,2133,75,1859,2.64,91.96,2.87,333029,14894,4.47,3/29/2026,Americas,19945850,CHL,363299,63.6,Recommended,Sinovac,2,1/27/2022,87
China,86783,4656,78869,3258,4/2/2026,213,4,7,5.37,90.88,5.9,85622,1161,1.36,3/29/2026,Western Pacific,1412914089,CHN,20650754,69.2,Recommended,Pfizer,2,11/13/2022,11
Colombia,257101,8777,131161,117163,3/23/2026,16306,508,11494,3.41,51.02,6.69,204005,53096,26.03,3/29/2026,Americas,53936226,COL,462251,68.9,Voluntary,Sinovac,2,1/16/2022,88
Colombia,257101,8777,131161,117163,3/30/2026,16306,508,11494,3.41,51.02,6.69,204005,53096,26.03,3/29/2026,Americas,53936226,COL,462251,68.9,Healthcare Priority,AstraZeneca,2,11/5/2022,53
Comoros,354,7,328,19,3/28/2026,0,0,0,1.98,92.66,2.13,334,20,5.99,3/29/2026,Africa,899010,COM,1770,,Age-Based Priority,Sinovac,2,12/12/2022,35
Comoros,354,7,328,19,4/3/2026,0,0,0,1.98,92.66,2.13,334,20,5.99,3/29/2026,Africa,899010,COM,1770,,Recommended,Moderna,2,9/16/2021,50
Comoros,354,7,328,19,3/30/2026,0,0,0,1.98,92.66,2.13,334,20,5.99,3/29/2026,Africa,899010,COM,1770,,Age-Based Priority,Pfizer,2,8/3/2022,35
Congo (Brazzaville),3200,54,829,2317,3/30/2026,162,3,73,1.69,25.91,6.51,2851,349,12.24,3/29/2026,Africa,6637785,COG,16952,,Healthcare Priority,Pfizer,2,1/10/2022,14
Congo (Brazzaville),3200,54,829,2317,4/4/2026,162,3,73,1.69,25.91,6.51,2851,349,12.24,3/29/2026,Africa,6637785,COG,16952,,Age-Based Priority,Sinovac,2,1/1/2022,93
Congo (Brazzaville),3200,54,829,2317,3/27/2026,162,3,73,1.69,25.91,6.51,2851,349,12.24,3/29/2026,Africa,6637785,COG,16952,,Age-Based Priority,Moderna,2,11/6/2021,21
Congo (Kinshasa),8844,208,5700,2936,4/2/2026,13,4,190,2.35,64.45,3.65,8443,401,4.75,3/29/2026,Africa,116452162,COD,88126,,Healthcare Priority,Sinovac,2,4/29/2022,44
Congo (Kinshasa),8844,208,5700,2936,4/4/2026,13,4,190,2.35,64.45,3.65,8443,401,4.75,3/29/2026,Africa,116452162,COD,88126,,Healthcare Priority,Pfizer,2,7/18/2021,80
Congo (Kinshasa),8844,208,5700,2936,3/27/2026,13,4,190,2.35,64.45,3.65,8443,401,4.75,3/29/2026,Africa,116452162,COD,88126,,Voluntary,AstraZeneca,2,8/16/2022,57
Costa Rica,15841,115,3824,11902,3/30/2026,612,11,88,0.73,24.14,3.01,11534,4307,37.34,3/29/2026,Americas,5174789,CRI,109135,64.8,Age-Based Priority,Moderna,2,9/7/2021,38
Costa Rica,15841,115,3824,11902,3/28/2026,612,11,88,0.73,24.14,3.01,11534,4307,37.34,3/29/2026,Americas,5174789,CRI,109135,64.8,Recommended,Johnson&Johnson,1,4/29/2021,12
Costa Rica,15841,115,3824,11902,3/24/2026,612,11,88,0.73,24.14,3.01,11534,4307,37.34,3/29/2026,Americas,5174789,CRI,109135,64.8,Recommended,AstraZeneca,2,4/17/2021,34
Costa Rica,15841,115,3824,11902,4/1/2026,612,11,88,0.73,24.14,3.01,11534,4307,37.34,3/29/2026,Americas,5174789,CRI,109135,64.8,Recommended,Sinovac,2,1/6/2021,52
Cote d'Ivoire,15655,96,10361,5198,3/23/2026,59,0,183,0.61,66.18,0.93,14312,1343,9.38,3/29/2026,Africa,33494346,CIV,111446,,Healthcare Priority,Pfizer,2,7/22/2021,73
Cote d'Ivoire,15655,96,10361,5198,3/30/2026,59,0,183,0.61,66.18,0.93,14312,1343,9.38,3/29/2026,Africa,33494346,CIV,111446,,Voluntary,Moderna,2,12/14/2020,49
Croatia,4881,139,3936,806,4/1/2026,24,3,70,2.85,80.64,3.53,4370,511,11.69,3/29/2026,Europe,3822345,HRV,113132,65.1,Age-Based Priority,Johnson&Johnson,1,1/12/2021,49
Croatia,4881,139,3936,806,3/31/2026,24,3,70,2.85,80.64,3.53,4370,511,11.69,3/29/2026,Europe,3822345,HRV,113132,65.1,Age-Based Priority,Moderna,2,4/23/2022,41
Cuba,2532,87,2351,94,3/29/2026,37,0,2,3.44,92.85,3.7,2446,86,3.52,3/29/2026,Americas,10892659,CUB,,,Voluntary,Johnson&Johnson,1,9/25/2021,89
Cyprus,1060,19,852,189,3/27/2026,3,0,0,1.79,80.38,2.23,1038,22,2.12,3/29/2026,Europe,1382334,CYP,43158,56.7,Age-Based Priority,Pfizer,2,2/17/2021,35
Cyprus,1060,19,852,189,4/2/2026,3,0,0,1.79,80.38,2.23,1038,22,2.12,3/29/2026,Europe,1382334,CYP,43158,56.7,Recommended,Moderna,2,12/9/2020,60
Cyprus,1060,19,852,189,3/29/2026,3,0,0,1.79,80.38,2.23,1038,22,2.12,3/29/2026,Europe,1382334,CYP,43158,56.7,Mandatory,AstraZeneca,2,4/6/2022,89
Czechia,15516,373,11428,3715,3/26/2026,192,2,0,2.4,73.65,3.26,14098,1418,10.06,3/29/2026,Europe,10527781,CZE,417134,76,Recommended,Johnson&Johnson,1,1/31/2022,22
Czechia,15516,373,11428,3715,3/24/2026,192,2,0,2.4,73.65,3.26,14098,1418,10.06,3/29/2026,Europe,10527781,CZE,417134,76,Healthcare Priority,Sinovac,2,12/23/2021,29
Czechia,15516,373,11428,3715,4/3/2026,192,2,0,2.4,73.65,3.26,14098,1418,10.06,3/29/2026,Europe,10527781,CZE,417134,76,Mandatory,Pfizer,2,12/3/2020,90
Czechia,15516,373,11428,3715,4/1/2026,192,2,0,2.4,73.65,3.26,14098,1418,10.06,3/29/2026,Europe,10527781,CZE,417134,76,Healthcare Priority,AstraZeneca,2,2/23/2021,56
Denmark,13761,613,12605,543,4/3/2026,109,0,77,4.45,91.6,4.86,13453,308,2.29,3/29/2026,Europe,6023520,DNK,500051,77.2,Healthcare Priority,Johnson&Johnson,1,1/19/2022,28
Denmark,13761,613,12605,543,3/28/2026,109,0,77,4.45,91.6,4.86,13453,308,2.29,3/29/2026,Europe,6023520,DNK,500051,77.2,Age-Based Priority,AstraZeneca,2,7/9/2022,17
Djibouti,5059,58,4977,24,3/23/2026,9,0,11,1.15,98.38,1.17,5020,39,0.78,3/29/2026,Eastern Mediterranean,1199459,DJI,5003,,Age-Based Priority,Sinovac,2,5/7/2022,40
Djibouti,5059,58,4977,24,4/2/2026,9,0,11,1.15,98.38,1.17,5020,39,0.78,3/29/2026,Eastern Mediterranean,1199459,DJI,5003,,Healthcare Priority,Moderna,2,7/4/2021,47
Djibouti,5059,58,4977,24,3/27/2026,9,0,11,1.15,98.38,1.17,5020,39,0.78,3/29/2026,Eastern Mediterranean,1199459,DJI,5003,,Healthcare Priority,Pfizer,2,2/22/2021,51
Djibouti,5059,58,4977,24,3/26/2026,9,0,11,1.15,98.38,1.17,5020,39,0.78,3/29/2026,Eastern Mediterranean,1199459,DJI,5003,,Mandatory,AstraZeneca,2,11/7/2022,22
Dominica,18,0,18,0,3/29/2026,0,0,0,0,100,0,18,0,0,3/29/2026,Americas,65511,DMA,791,,Voluntary,Johnson&Johnson,1,8/2/2021,11
Dominica,18,0,18,0,3/25/2026,0,0,0,0,100,0,18,0,0,3/29/2026,Americas,65511,DMA,791,,Recommended,Pfizer,2,1/3/2021,68
Dominican Republic,64156,1083,30204,32869,3/22/2026,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,3/29/2026,Americas,11609500,DOM,138340,58.4,Voluntary,Pfizer,2,5/15/2021,86
Dominican Republic,64156,1083,30204,32869,3/25/2026,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,3/29/2026,Americas,11609500,DOM,138340,58.4,Recommended,Johnson&Johnson,1,12/21/2022,27
Dominican Republic,64156,1083,30204,32869,4/4/2026,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,3/29/2026,Americas,11609500,DOM,138340,58.4,Healthcare Priority,Moderna,2,12/1/2022,49
Dominican Republic,64156,1083,30204,32869,3/27/2026,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,3/29/2026,Americas,11609500,DOM,138340,58.4,Healthcare Priority,AstraZeneca,2,3/17/2021,61
Ecuador,81161,5532,34896,40733,4/4/2026,467,17,0,6.82,43,15.85,74620,6541,8.77,3/29/2026,Americas,18444506,ECU,134711,77.7,Mandatory,Sinovac,2,9/10/2021,14
Egypt,92482,4652,34838,52992,4/2/2026,420,46,1007,5.03,37.67,13.35,88402,4080,4.62,3/29/2026,Eastern Mediterranean,120101175,EGY,399508,47.9,Voluntary,Pfizer,2,4/29/2021,20
