CON_ID,VAC_ID,DOSE_AMOUNT,VAC_START_DAY,USAGE_PERC
139,1,2,1/19/2022,68
139,5,1,2/6/2021,95
139,3,2,5/2/2021,14
140,1,2,8/27/2022,34
140,5,1,7/17/2021,64
140,2,2,9/21/2022,22
141,1,2,12/21/2021,44
141,5,1,9/27/2022,13
141,2,2,1/12/2021,73
142,1,2,6/29/2021,64
142,4,2,3/6/2022,10
143,1,2,1/13/2022,41
143,3,2,9/16/2021,10
143,2,2,8/21/2021,22
143,5,1,10/26/2022,92
144,2,2,7/13/2021,71
144,1,2,5/15/2022,79
144,4,2,9/3/2021,10
145,1,2,1/26/2021,41
145,2,2,12/6/2022,38
146,3,2,2/9/2022,94
146,5,1,4/3/2022,53
146,2,2,9/1/2022,10
147,4,2,1/31/2022,17
147,3,2,6/23/2021,37
148,5,1,12/7/2022,19
148,4,2,12/29/2021,82
149,1,2,7/22/2022,20
149,5,1,6/24/2021,28
149,3,2,4/28/2022,54
150,3,2,11/4/2022,68
151,1,2,6/12/2022,19
151,2,2,5/30/2021,76
151,3,2,12/22/2022,67
152,1,2,1/2/2021,52
152,3,2,6/9/2021,55
153,2,2,10/31/2021,62
153,1,2,9/29/2022,19
153,4,2,11/12/2022,13
154,5,1,1/2/2021,26
154,3,2,8/14/2022,88
154,2,2,10/3/2022,54
155,5,1,9/2/2021,72
156,4,2,6/5/2022,20
156,1,2,1/9/2022,15
156,5,1,2/28/2021,19
157,1,2,4/22/2021,78
158,1,2,11/18/2022,46
158,2,2,5/28/2022,82
159,1,2,11/12/2021,44
159,5,1,8/29/2021,59
160,4,2,8/3/2022,62
160,2,2,10/12/2021,29
160,1,2,6/12/2021,73
161,4,2,3/15/2021,32
162,4,2,12/29/2020,48
163,3,2,11/28/2022,35
163,1,2,1/31/2022,69
163,5,1,3/15/2021,79
164,4,2,9/26/2022,25
164,3,2,10/6/2021,80
165,2,2,3/31/2021,21
165,1,2,5/10/2022,28
166,3,2,3/19/2022,50
166,2,2,12/2/2022,64
167,3,2,7/3/2022,24
168,1,2,10/30/2021,61
169,5,1,8/25/2021,32
169,3,2,7/16/2022,51
169,4,2,2/17/2021,30
170,5,1,5/31/2021,64
170,1,2,1/22/2021,23
170,2,2,11/19/2021,42
170,4,2,12/7/2020,35
171,5,1,4/13/2021,26
171,1,2,10/19/2022,49
171,2,2,7/25/2022,11
171,3,2,9/20/2022,64
172,3,2,7/6/2022,76
173,4,2,8/9/2022,41
173,5,1,1/12/2022,38
173,2,2,2/6/2021,70
174,3,2,12/9/2021,83
174,5,1,7/20/2022,13
174,2,2,11/28/2022,45
174,4,2,2/26/2021,29
175,1,2,6/24/2021,84
175,2,2,12/8/2022,84
176,2,2,3/23/2021,61
177,3,2,4/26/2021,65
177,2,2,2/14/2021,52
178,5,1,3/12/2021,26
179,2,2,3/19/2021,78
179,5,1,6/14/2022,74
179,4,2,4/29/2022,67
179,1,2,5/19/2022,60
180,5,1,8/25/2021,29
181,2,2,4/4/2021,34
181,4,2,12/6/2020,18
181,5,1,2/7/2022,27
181,1,2,11/26/2021,91
182,3,2,1/22/2021,15
182,2,2,5/20/2021,69
182,5,1,7/23/2021,54
182,4,2,11/23/2022,90
